Name,Stock Qty,Cost,Total Amount,Category,Warehouse
Standee White solo ,123,8,984,CUPCAKE /PASTRY BOXES ,
RM white solo ,3,8.18,24.54,CUPCAKE /PASTRY BOXES ,
RM pink solo ,17,9,153,CUPCAKE /PASTRY BOXES ,
RM blue solo ,246,5.96,1466.16,CUPCAKE /PASTRY BOXES ,
RM violet solo ,21,9,189,CUPCAKE /PASTRY BOXES ,
RM gold solo ,111,9,999,CUPCAKE /PASTRY BOXES ,
7x7x3 White ,2,11,22,CUPCAKE /PASTRY BOXES ,
Bento Box ,11,7,77,CUPCAKE /PASTRY BOXES ,In store
6 Donut Box ,31,13,403,CUPCAKE /PASTRY BOXES ,In store
12 Donut box ,44,18,792,CUPCAKE /PASTRY BOXES ,In store
6x6x3 Blue ,1,8,8,CUPCAKE /PASTRY BOXES ,In store
6x6x3 pink ,1,8,8,CUPCAKE /PASTRY BOXES ,In store
Standee Red solo,198,6,1188,CUPCAKE /PASTRY BOXES ,In store
9x12x3 white ,12,14.73,176.76,CUPCAKE /PASTRY BOXES ,In store
Cupcake by 2 marble ,2,9,18,CUPCAKE /PASTRY BOXES ,In store
6x9x3 Pink RM ,13,19,247,CUPCAKE /PASTRY BOXES ,In store
6x9x3 Powder Blue RM ,34,19,646,CUPCAKE /PASTRY BOXES ,In store
6x9x3 white ,215,11.28,2425.2,CUPCAKE /PASTRY BOXES ,In store
6x9x2 white,186,8.91,1657.26,CUPCAKE /PASTRY BOXES ,In store
Standee Gold Solo ,89,9,801,CUPCAKE /PASTRY BOXES ,In store
Standee solo green ,1,7,7,CUPCAKE /PASTRY BOXES ,In store
Cupcake by 2 w/holder ,1,12,12,CUPCAKE /PASTRY BOXES ,In store
Cupcake by 2 White ,1,7,7,CUPCAKE /PASTRY BOXES ,In store
Standee Solo Mermaid ,1,6,6,CUPCAKE /PASTRY BOXES ,In store
10x10x2 box,11,12,132,CUPCAKE /PASTRY BOXES ,In store
5x6x1.5 white ,71,6,426,CUPCAKE /PASTRY BOXES ,In store
9x12x3 Gold ,211,15,3165,CUPCAKE /PASTRY BOXES ,In store
RM Acetate solo Pink ,53,13,689,CUPCAKE /PASTRY BOXES ,In store
RM Acetate solo blue ,39,13,507,CUPCAKE /PASTRY BOXES ,In store
Solo Kraft,26,6,156,CUPCAKE /PASTRY BOXES ,In store
Solo Pink ,54,6,324,CUPCAKE /PASTRY BOXES ,In store
Solo Blue ,93,6,558,CUPCAKE /PASTRY BOXES ,In store
"Board ""5",29,6,174,CAKE BOARDS,
"Board ""6 silver ",11,4,44,CAKE BOARDS,
Board Round 7,85,5.5,467.5,CAKE BOARDS,
Board Round 8 silver ,1,8,8,CAKE BOARDS,
Board round 8 White,226,8,1808,CAKE BOARDS,
Board Round 10 White ,89,11,979,CAKE BOARDS,
Board Round 10 Silver ,97,11,1067,CAKE BOARDS,
Board Round 10 Gold ,1,10,10,CAKE BOARDS,
Board 10x14 silver,1,12,12,CAKE BOARDS,
Board 12x16 silver ,1,17,17,CAKE BOARDS,
Board 14x14,1,26.51000023,26.51000023,CAKE BOARDS,
Board 16x16 ,1,28.26,28.26,CAKE BOARDS,
"CD ""10 silver ",58,32.65,1893.7,CAKE BOARDS,
"CD ""12 silver ",22,39,858,CAKE BOARDS,In store
Board SQ 7,1,0.310000002,0.310000002,CAKE BOARDS,In store
Board SQ 8,151,8,1208,CAKE BOARDS,In store
Board SQ 10,222,11.24,2495.28,CAKE BOARDS,In store
Board Round 12 silver ,2,14,28,CAKE BOARDS,In store
Board Round 12 White ,238,12,2856,CAKE BOARDS,In store
Board SQ 12,117,12,1404,CAKE BOARDS,In store
"CD ""14 silver ",1,55.8,55.8,CAKE BOARDS,In store
Board Round 9  ,111,9,999,CAKE BOARDS,In store
Board 12x16 Gold ,13,18,234,CAKE BOARDS,In store
"CD ""12 Gold ",5,37,185,CAKE BOARDS,In store
"CD ""10 Gold ",1,38,38,CAKE BOARDS,In store
"Board ""6 white ",181,5,905,CAKE BOARDS,In store
"Board ""10x14 white ",41,12,492,CAKE BOARDS,In store
"Board ""6 gold ",1,7,7,CAKE BOARDS,In store
Board SQ 9,24,8.449999809,202.7999954,CAKE BOARDS,In store
"Board ""11 white",31,11,341,CAKE BOARDS,In store
"Board ""14 White ",42,18,756,CAKE BOARDS,In store
"CD ""16 silver ",43,73,3139,CAKE BOARDS,In store
"Board ""10x14 Gold ",14,12,168,CAKE BOARDS,In store
"CD ""14 White ",1,51,51,CAKE BOARDS,In store
"CD ""12 White ",72,44,3168,CAKE BOARDS,In store
"CD"" 10x10 White ",54,34,1836,CAKE BOARDS,In store
"CD ""12x12 White ",1,37,37,CAKE BOARDS,In store
"CD""10 White ",9,34,306,CAKE BOARDS,In store
Board 12x16 White ,81,17,1377,CAKE BOARDS,In store
"CD ""14x14 silver ",17,60,1020,CAKE BOARDS,In store
Tin Can 6x2 ,1,38,38,CANISTER ,
Tin Can 6x3 ,1,49,49,CANISTER ,
8x4 Loaf Tray ,1,28,28,CANISTER ,
7x4 Loaf Tray ,15,30.14999962,452.2499943,CANISTER ,
Round 7 Tray ,1,57,57,CANISTER ,
Round 8 Tray,1,60,60,CANISTER ,
8x8x2 Tray ,1,71.81999969,71.81999969,CANISTER ,
C12,75,5.5,412.5,CANISTER ,
L500,28,11,308,CANISTER ,
C35,66,11.5,759,CANISTER ,
C42,1,10,10,CANISTER ,
H1L,38,5,190,CANISTER ,
L200,51,20,1020,CANISTER ,
